Gene	Accession	RPKM_LowMyc	SpikeIn_renormalized_LowMyc
ATAD3A	NM_001170535	9.889636628	4.514011391
CDK17	NM_001170464	2.424246782	1.107525202
CDK16	NM_001170460	24.86325952	11.44146018
PRSS35	NM_001170423	0.00E+00	0.00E+00
RNF216	NM_207111	24.79589194	11.40975683
CCDC71L	NM_175884	5.880543682	2.736085483
MOG	NM_001170418	0.00E+00	0.00E+00
MOG	NM_001170418	0.00E+00	0.00E+00
MOG	NM_001170418	0.00E+00	0.00E+00
TJP2	NM_001170416	4.344549573	2.020738375
TJP2	NM_001170415	3.909909135	1.817921486
TJP2	NM_001170414	3.782761549	1.758810699
CDK1	NM_001170407	1.894648154	0.873848242
CDK1	NM_001170406	1.881685909	0.867740051
CDC20B	NM_001170402	0.006506224	1.47E-05
LANCL3	NM_001170331	0.00E+00	0.00E+00
OR7D2	NM_175883	0.009032834	2.27E-05
C4orf3	NM_001170330	7.086974343	3.295769829
AQP7	NM_001170	0.123659688	0.035984528
CXorf58	NM_001169574	0.006299342	1.41E-05
CXorf41	NM_001169154	0.005037512	1.05E-05
TMIGD2	NM_001169126	0.00E+00	0.00E+00
AFF2	NM_001169125	0.00E+00	9.71E-10
AFF2	NM_001169124	0.00E+00	9.71E-10
AFF2	NM_001169123	0.00E+00	9.69E-10
AFF2	NM_001169122	0.00E+00	9.71E-10
STIM2	NM_001169118	6.000969683	2.790185032
SPPL2C	NM_175882	0.00E+00	0.00E+00
STIM2	NM_001169117	5.976431064	2.778711309
SCO2	NM_001169111	15.12242816	6.941440679
SCO2	NM_001169110	15.39408855	7.063991644
SCO2	NM_001169109	14.67638128	6.738754666
FAM21C	NM_001169107	0.285508398	0.127779464
FAM21C	NM_001169106	0.279068359	0.12483425
AQP8	NM_001169	0.00E+00	4.01E-09
TMEM135	NM_001168724	1.217987569	0.550527957
TXLNG	NM_001168683	3.443659546	1.602252135
SAP25	NM_001168682	21.01888893	9.687120105
ODF3L1	NM_175881	0.333611657	0.147326396
CNKSR2	NM_001168649	0.378929631	0.170907431
CNKSR2	NM_001168648	0.366556762	0.16526318
CNKSR2	NM_001168647	0.479456686	0.216562942
IFT46	NM_001168618	2.080132616	0.959298427
TMEM48	NM_001168551	2.013668584	0.934792048
ASB9	NM_001168531	0.00E+00	0.00E+00
ASB9	NM_001168530	0.00E+00	0.00E+00
CNDP2	NM_001168499	24.79791618	11.422862
ARMCX5	NM_001168485	3.877335317	1.800752867
ARMCX5	NM_001168482	4.033257879	1.873885009
XKR3	NM_175878	0.023098835	7.83E-05
ARMCX5	NM_001168480	3.950600502	1.83499511
ARMCX5	NM_001168479	3.942435292	1.831170734
ARMCX5	NM_001168478	4.103043548	1.906377978
TAF7L	NM_001168474	0.004438631	0.000447533
PDZD3	NM_001168468	0.046690049	0.000197525
MAP7D2	NM_001168467	0.057766512	0.020266029
MAP7D2	NM_001168466	0.057351032	0.017291518
MAP7D2	NM_001168465	0.058463536	0.02026237
TSPAN3	NM_001168412	16.38121007	7.617353771
RIMS1	NM_001168411	0.00E+00	0.00E+00
EXOC8	NM_175876	4.656526025	2.164987327
RIMS1	NM_001168410	0.00E+00	0.00E+00
RIMS1	NM_001168409	0.00E+00	0.00E+00
RIMS1	NM_001168408	0.00E+00	0.00E+00
RIMS1	NM_001168407	0.00E+00	0.00E+00
BEX2	NM_001168401	0.00E+00	0.00E+00
BEX2	NM_001168400	0.00E+00	0.00E+00
BEX2	NM_001168399	0.00E+00	0.00E+00
SLC35A1	NM_001168398	2.369273857	1.082848845
CREBRF	NM_001168394	4.692509691	2.153322337
CREBRF	NM_001168393	4.700121223	2.15690165
SIX5	NM_175875	2.625717284	1.221642451
C10orf105	NM_001168390	0.049161184	0.009722452
CITED2	NM_001168389	15.7449437	7.32214384
CITED2	NM_001168388	15.60099462	7.255146699
ALG13	NM_001168385	2.744686146	1.265546659
ZIC4	NM_001168379	0.00E+00	0.00E+00
ZIC4	NM_001168378	0.00E+00	0.00E+00
KIAA0319	NM_001168377	0.020522802	6.70E-05
KIAA0319	NM_001168376	0.020529003	6.71E-05
KIAA0319	NM_001168375	0.020044542	6.50E-05
KIAA0319	NM_001168374	0.019707366	6.35E-05
C12orf60	NM_175874	0.232767948	0.102704843
CUL7	NM_001168370	8.832977637	4.108587912
GALNTL1	NM_001168368	0.024780724	8.59E-05
KRTCAP3	NM_001168364	0.436624768	0.192338686
PCDH11X	NM_001168363	0.009330564	2.37E-05
PCDH11X	NM_001168362	0.009394905	2.39E-05
PCDH11X	NM_001168361	0.008272583	2.02E-05
PCDH11X	NM_001168360	0.009297053	2.36E-05
TDRD6	NM_001168359	0.00E+00	0.00E+00
PLA2G7	NM_001168357	0.00E+00	0.00E+00
OSMR	NM_001168355	0.00E+00	0.00E+00
SOWAHA	NM_175873	0.002808009	4.86E-06
NSUN5	NM_001168348	7.159747483	3.329563562
NSUN5	NM_001168347	9.027652728	4.183541744
RREB1	NM_001168344	9.046252618	4.206537628
TTC39B	NM_001168342	0.046431532	0.00019609
TTC39B	NM_001168341	0.054035316	0.000239301
TTC39B	NM_001168340	0.051217832	0.000223054
TTC39B	NM_001168339	0.050698573	0.00022009
PLG	NM_001168338	0.00E+00	0.00E+00
ME2	NM_001168335	8.955036325	4.164105072
NDUFB4	NM_001168331	14.67915807	6.814845
ZNF792	NM_175872	2.104743238	0.962174024
NDUFB4	NM_001168331	0.00E+00	0.00E+00
TESC	NM_001168325	10.26612714	4.751141985
CD300LG	NM_001168324	0.00E+00	0.00E+00
CD300LG	NM_001168323	0.00E+00	0.00E+00
CD300LG	NM_001168322	0.00E+00	0.00E+00
TSPAN9	NM_001168320	0.448656054	0.19972959
EDN1	NM_001168319	1.268381611	0.572581829
UGT3A2	NM_001168316	0.00E+00	0.00E+00
KLHL13	NM_001168303	12.6811094	5.897327171
KLHL13	NM_001168302	12.41629546	5.774043316
ASTN1	NM_207108	0.00E+00	2.22E-09
SWSAP1	NM_175871	5.770636651	2.684851361
KLHL13	NM_001168301	13.55516218	6.303809884
KLHL13	NM_001168300	12.17557303	5.661548724
KLHL13	NM_001168299	13.12073665	6.101483153
CXCR2	NM_001168298	0.156804387	0.053770641
WWTR1	NM_001168280	3.752625554	1.737148335
WWTR1	NM_001168278	3.69185631	1.708632222
ITPR1	NM_001168272	17.98756108	8.362328316
GPR156	NM_001168271	0.016252332	0.003143018
OCIAD1	NM_001168254	23.24664675	10.76875677
SLFNL1	NM_001168247	0.032097779	0.011293597
MAGEA6	NM_175868	0.00E+00	0.00E+00
C4orf48	NM_001168243	0.044837347	0.020059864
FAM59B	NM_001168241	0.037326741	0.011556253
ABL2	NM_001168239	1.880534829	0.864774705
ABL2	NM_001168238	1.835008595	0.843824705
ABL2	NM_001168237	1.826937529	0.840053224
ABL2	NM_001168236	1.795576494	0.825353693
FREM3	NM_001168235	0.00E+00	0.00E+00
TBC1D17	NM_001168222	18.10346828	8.369908737
ALS2CR11	NM_001168221	0.030622352	0.005192593
ALS2CR11	NM_001168217	0.062550781	0.017749002
DNMT3L	NM_175867	0.00E+00	0.00E+00
ALS2CR11	NM_001168216	0.076737435	0.019220843
TMEM92	NM_001168215	0.00E+00	0.00E+00
C3orf80	NM_001168214	0.00E+00	0.00E+00
BIRC5	NM_001168	4.859177141	2.260610684
PQBP1	NM_001167992	29.94908617	13.57579699
PQBP1	NM_001167990	29.22556694	13.28511898
PQBP1	NM_001167989	27.99911019	12.74553367
INCA1	NM_001167987	1.763566883	0.794313029
INCA1	NM_001167986	1.631424035	0.734502668
INCA1	NM_001167985	1.661607435	0.748242052
UHMK1	NM_175866	7.948941845	3.698334833
TRMT2B	NM_001167972	4.561518149	2.120765215
TRMT2B	NM_001167971	4.367506849	2.030665345
TRMT2B	NM_001167970	4.470137495	2.078216689
WDR65	NM_001167965	0.003199501	0.000228675
SLC26A5	NM_001167962	0.011235284	3.03E-05
KCTD7	NM_001167961	13.11707575	6.100285071
TMEM178	NM_001167959	2.453806056	1.118977209
TIMM17B	NM_001167947	23.04156595	10.56391285
CACNB2	NM_001167945	0.020865911	0.002642255
TNFAIP8L1	NM_001167942	12.90096986	5.998989242
CD86	NM_175862	9.440112545	4.391881715
WDR76	NM_001167941	2.956546247	1.374070832
CADPS2	NM_001167940	0.00E+00	0.00E+00
CCM2	NM_001167935	57.96225586	26.04986028
CCM2	NM_001167934	61.2913494	27.48930352
IL1RAP	NM_001167931	0.026677528	9.47E-05
IL1RAP	NM_001167930	0.077387428	0.000383381
IL1RAP	NM_001167929	0.037200583	0.003922649
IL1RAP	NM_001167928	0.035313488	0.003566847
C3orf26	NM_001167924	4.367832796	2.031035183
VEPH1	NM_001167917	0.00E+00	0.00E+00
TMTC1	NM_175861	0.001099104	1.41E-05
VEPH1	NM_001167916	0.00E+00	0.00E+00
VEPH1	NM_001167915	0.00E+00	0.00E+00
VEPH1	NM_001167912	0.00E+00	2.59E-09
VEPH1	NM_001167911	0.00E+00	2.61E-09
MFSD1	NM_001167903	4.912016203	2.285250555
PGPEP1L	NM_001167902	0.00E+00	0.00E+00
EGFL6	NM_001167890	0.00E+00	0.00E+00
ANKRD50	NM_001167882	0.364071622	0.161368662
LHPP	NM_001167880	8.04979548	3.745284311
ATP5SL	NM_001167871	19.72732861	9.084192612
CTPS2	NM_175859	3.008863913	1.395962512
ATP5SL	NM_001167870	18.55650468	8.556605631
ATP5SL	NM_001167869	18.08548656	8.343315254
ATP5SL	NM_001167868	17.64083463	8.142427981
ATP5SL	NM_001167867	18.81197435	8.669087472
NSMCE4A	NM_001167865	9.818067687	4.565305715
PPP1R12B	NM_001167858	0.323009501	0.144186039
PPP1R12B	NM_001167857	0.313652709	0.139988438
SBNO1	NM_001167856	4.63927097	2.158069222
TMED5	NM_001167830	18.43336361	8.571722785
TFEB	NM_001167827	65.47537478	29.06104177
KRTAP11-1	NM_175858	0.00E+00	0.00E+00
BLCAP	NM_001167823	31.04122034	14.25103913
BLCAP	NM_001167822	31.70793073	14.5495161
BLCAP	NM_001167821	31.77276564	14.57886251
BLCAP	NM_001167820	29.58829917	13.59298021
FHL1	NM_001167819	4.317983796	2.008231158
C20orf26	NM_001167816	0.00E+00	4.02E-09
ADCY10	NM_001167749	0.001954749	7.54E-05
MTX3	NM_001167741	2.430524572	1.116466881
SMYD3	NM_001167740	3.170452892	1.473942997
NAV1	NM_001167738	12.66940768	5.892330533
KRTAP8-1	NM_175857	0.00E+00	0.00E+00
VARS2	NM_001167734	0.00E+00	0.00E+00
VARS2	NM_001167734	8.976080427	4.159119338
VARS2	NM_001167734	0.00E+00	0.00E+00
VARS2	NM_001167733	8.46622388	3.925060988
VARS2	NM_001167733	0.00E+00	0.00E+00
VARS2	NM_001167733	0.00E+00	0.00E+00
FLI1	NM_001167681	28.49635619	13.178199
LOC100128071	NM_001167676	0.04166217	0.018497145
CADM2	NM_001167675	0.00E+00	0.00E+00
CADM2	NM_001167674	0.00E+00	0.00E+00
CHSY3	NM_175856	0.00E+00	0.00E+00
LPP	NM_001167672	0.019691344	0.00193219
LPP	NM_001167671	0.022908363	0.002367512
TMEM239	NM_001167670	0.00E+00	0.00E+00
CDH18	NM_001167667	0.00E+00	0.00E+00
CACNA1C	NM_001167625	0.00E+00	0.00E+00
CACNA1C	NM_001167624	0.00E+00	0.00E+00
CACNA1C	NM_001167623	0.00E+00	0.00E+00
ATXN10	NM_001167621	7.415029778	3.447891218
MLH1	NM_001167619	8.458035714	3.93302925
MLH1	NM_001167618	8.443007408	3.926008347
SCIMP	NM_207103	40.22839053	18.67234364
PAN3	NM_175854	9.852067499	4.583905978
MLH1	NM_001167617	8.443007408	3.926008347
LEMD3	NM_001167614	8.715300157	4.052606235
GLI1	NM_001167609	1.224920481	0.556768597
RHBDD1	NM_001167608	3.279055926	1.511650379
GM2A	NM_001167607	28.97393077	13.35366759
RAB35	NM_001167606	32.20271498	14.66847483
KLK11	NM_001167605	0.00E+00	0.00E+00
XPNPEP1	NM_001167604	18.98173711	8.815125447
NEU4	NM_001167602	0.130402097	0.049263383
NEU4	NM_001167601	0.138266837	0.057523369
TXLNA	NM_175852	27.26581391	12.49229984
NEU4	NM_001167600	0.138470871	0.05762617
NEU4	NM_001167599	0.140266769	0.054264187
AMACR	NM_001167595	0.924858553	0.418656891
CTSA	NM_001167594	21.17066294	9.749568743
ZFAT	NM_001167583	5.154386678	2.397960804
RBM6	NM_001167582	31.44183682	14.49567412
SV2B	NM_001167580	0.00E+00	0.00E+00
SLC34A1	NM_001167579	0.00E+00	0.00E+00
TRPC7	NM_001167577	0.00E+00	0.00E+00
TRPC7	NM_001167576	0.00E+00	0.00E+00
DNMT3B	NM_175850	1.302669811	0.594102326
C9orf82	NM_001167575	3.668431922	1.706784895
UPK3A	NM_001167574	0.04263815	0.000175321
XIAP	NM_001167	5.036853283	2.33760692
FAM104B	NM_001166704	1.409249077	0.64077017
FAM104B	NM_001166703	1.236728905	0.561228688
FAM104B	NM_001166702	1.309422842	0.594413066
FAM104B	NM_001166701	1.41729536	0.644512653
FAM104B	NM_001166700	1.41383573	0.642903408
FAM104B	NM_001166699	1.109923933	0.500879222
FAM13C	NM_001166698	0.002808009	0.000241705
DNMT3B	NM_175849	1.33484083	0.609159464
SLC1A3	NM_001166696	0.035952909	0.007018322
SLC1A3	NM_001166695	0.031879427	0.008439505
CHRNA3	NM_001166694	0.00E+00	0.00E+00
AFF1	NM_001166693	16.65345734	7.743841514
C11orf91	NM_001166692	0.00E+00	4.51E-09
TTK	NM_001166691	0.659156521	0.296814784
PFKM	NM_001166688	9.875868018	4.573862629
PFKM	NM_001166687	10.16142755	4.702943419
PFKM	NM_001166686	8.972218825	4.164396448
CD244	NM_001166664	0.021726243	7.22E-05
DNMT3B	NM_175848	1.296272227	0.59111337
CD244	NM_001166663	0.026911287	9.57E-05
NLGN3	NM_001166660	1.213096744	0.548549224
CFHR3	NM_001166624	0.00E+00	0.00E+00
TRAPPC1	NM_001166621	68.57768784	30.68102922
FAM122B	NM_001166600	6.497820983	3.023300304
FAM122B	NM_001166599	5.352998097	2.490468998
APOA5	NM_001166598	0.00E+00	0.00E+00
EIF2B3	NM_001166588	3.539501944	1.646775386
AANAT	NM_001166579	0.126859456	0.046872604
IDS	NM_001166550	18.47192145	8.58747913
PTBP1	NM_175847	96.702382	41.62928896
LST1	NM_001166538	31.39563522	14.59968976
LST1	NM_001166538	0.00E+00	0.00E+00
LST1	NM_001166538	0.00E+00	0.00E+00
DDX4	NM_001166534	0.008160812	1.99E-05
DDX4	NM_001166533	0.007921082	1.91E-05
ADH7	NM_001166504	0.00E+00	0.00E+00
HPSE	NM_001166498	0.677099601	0.300875109
SLC16A1	NM_001166496	1.394673962	0.648516602
DEFB133	NM_001166478	0.00E+00	0.00E+00
MPP1	NM_001166462	9.428924599	4.386665927
SMOX	NM_175842	0.619613971	0.277683945
MPP1	NM_001166461	10.41042896	4.842739959
MPP1	NM_001166460	10.17393522	4.732957722
KNG1	NM_001166451	0.00E+00	0.00E+00
ITIH4	NM_001166449	0.595874715	0.266874902
HDAC8	NM_001166448	2.248553409	1.032463107
ITIH1	NM_001166436	0.59165885	0.265398653
ITIH1	NM_001166435	0.564603451	0.253043687
ITIH1	NM_001166434	0.509614918	0.227959903
WDR13	NM_001166426	17.30343378	8.011791749
GNAI2	NM_001166425	299.4763271	127.2898069
SMOX	NM_175841	0.534836669	0.239869372
PGC	NM_001166424	0.00E+00	0.00E+00
HDAC8	NM_001166422	3.261804196	1.509057309
HDAC8	NM_001166420	2.985481925	1.378906218
HDAC8	NM_001166419	3.005891595	1.388296342
HDAC8	NM_001166418	4.070257579	1.886964585
SSX2IP	NM_001166417	0.979589977	0.445366517
EHHADH	NM_001166415	0.024433138	0.006410399
SMOC2	NM_001166412	0.00E+00	0.00E+00
MAGEA8	NM_001166401	0.013974019	0.001986991
MAGEA8	NM_001166400	0.013788758	0.001940599
SMOX	NM_175840	0.618390042	0.277242093
CHST4	NM_001166395	0.049071756	0.005972119
MTUS1	NM_001166393	0.005317604	1.13E-05
TPBG	NM_001166392	0.00E+00	0.00E+00
MAGEA12	NM_001166387	0.00E+00	0.00E+00
MAGEA12	NM_001166386	0.00E+00	0.00E+00
1-Mar	NM_001166373	8.032946396	3.725473724
SHMT2	NM_001166359	59.99183772	26.73903704
SHMT2	NM_001166358	57.18090317	25.53837715
SHMT2	NM_001166357	54.7347581	24.49108914
SHMT2	NM_001166356	56.9322654	25.43208997
SMOX	NM_175839	0.60892771	0.272862871
LFNG	NM_001166355	9.993800136	4.647526114
SLC26A11	NM_001166349	1.507962462	0.686397389
SLC26A11	NM_001166348	1.493690274	0.679634482
SLC26A11	NM_001166347	1.484487389	0.675703656
MDFIC	NM_001166346	0.00E+00	6.20E-09
MDFIC	NM_001166345	0.281423564	0.12364433
MFNG	NM_001166343	44.58956185	19.74114526
SENP8	NM_001166340	0.069337754	0.02873363
SPDYE2L	NM_001166339	0.00E+00	0.00E+00
SPDYE2L	NM_001166339	0.00E+00	0.00E+00
FBXW12	NM_207102	0.011787839	3.23E-05
KRT79	NM_175834	0.00E+00	0.00E+00
TMEM44	NM_001166306	3.824960273	1.777257227
TMEM44	NM_001166305	3.762060461	1.747804595
PIGX	NM_001166304	2.127882185	0.979846255
DHX40	NM_001166301	5.150285664	2.395651939
SSX2IP	NM_001166295	0.995150443	0.452546387
SSX2IP	NM_001166294	1.017439027	0.46291905
SSX2IP	NM_001166293	1.002770731	0.45616325
PTCH2	NM_001166292	0.795012683	0.359276699
KCNJ11	NM_001166290	0.119756063	0.053196023
RGMA	NM_001166289	0.00E+00	3.03E-09
TCF23	NM_175769	0.00E+00	0.00E+00
RGMA	NM_001166288	0.00E+00	3.03E-09
RGMA	NM_001166287	0.00E+00	3.00E-09
RGMA	NM_001166286	0.00E+00	3.03E-09
CCT7	NM_001166285	50.14634662	22.05000161
CCT7	NM_001166284	56.09362194	24.52893844
RGMA	NM_001166283	0.00E+00	2.99E-09
MUSK	NM_001166281	0.00E+00	0.00E+00
MUSK	NM_001166280	0.00E+00	0.00E+00
PAN2	NM_001166279	11.08330884	5.156439347
DLG3	NM_001166278	1.965869871	0.898113278
GRIK2	NM_175768	0.00E+00	0.00E+00
ARHGAP25	NM_001166277	17.79838073	8.276327133
ARHGAP25	NM_001166276	17.81821775	8.285633342
SPATA13	NM_001166271	2.122356742	0.986138599
HAUS4	NM_001166270	3.92836639	1.827784106
HAUS4	NM_001166269	3.763202881	1.750913675
LTBP1	NM_001166266	0.00E+00	0.00E+00
LTBP1	NM_001166265	0.00E+00	0.00E+00
LTBP1	NM_001166264	0.00E+00	0.00E+00
MTIF3	NM_001166263	11.9086645	5.538536768
MTIF3	NM_001166262	12.26804749	5.705420222
IL6ST	NM_175767	1.492013683	0.674499067
MTIF3	NM_001166261	13.15682144	6.118241463
TRIP13	NM_001166260	0.550210516	0.252585185
TBXAS1	NM_001166254	0.013762692	0.002500581
TBXAS1	NM_001166253	0.008808789	0.001339301
LPPR4	NM_001166252	0.00E+00	0.00E+00
GRIK2	NM_001166247	0.00E+00	0.00E+00
HPSE2	NM_001166246	5.070019242	2.357730769
HPSE2	NM_001166245	4.96128648	2.307088422
HPSE2	NM_001166244	5.289598708	2.46024731
FHIT	NM_001166243	0.82768329	0.375535018
UBR7	NM_175748	22.70989758	10.53812963
C22orf39	NM_001166242	4.910226689	2.282924981
CGREF1	NM_001166241	0.199936989	0.090412093
CGREF1	NM_001166240	0.198813506	0.089928162
CGREF1	NM_001166239	0.332852399	0.153135659
GSDMD	NM_001166237	38.42240061	17.39007103
CEP120	NM_001166226	11.27554679	5.246015328
CARNS1	NM_001166222	0.865804757	0.389160965
UTP14A	NM_001166221	8.249577521	3.835945646
TBX20	NM_001166220	0.00E+00	0.00E+00
S1PR5	NM_001166215	0.00E+00	0.00E+00
OLIG3	NM_175747	0.00E+00	0.00E+00
CLCF1	NM_001166212	23.30630509	10.76558482
SYNPO	NM_001166209	93.53031418	41.62871413
SYNPO	NM_001166208	92.31868792	41.11237822
NKX2-5	NM_001166176	0.100907334	0.044106161
NKX2-5	NM_001166175	0.099003422	0.04321117
NEK6	NM_001166171	73.96195354	33.2371016
NEK6	NM_001166170	77.69212072	34.84707394
NEK6	NM_001166169	77.50050337	34.76688977
NEK6	NM_001166168	77.61304649	34.81654189
NEK6	NM_001166167	77.50402126	34.76961823
RHOC	NM_175744	164.1900144	72.49173937
PPP1R9A	NM_001166163	0.004044281	7.87E-06
PPP1R9A	NM_001166162	0.00384828	7.37E-06
PPP1R9A	NM_001166161	0.003799701	7.25E-06
PPP1R9A	NM_001166160	0.003691334	6.98E-06
NDUFS2	NM_001166159	18.01439146	8.299352357
PDHX	NM_001166158	4.624320247	2.149484825
LCORL	NM_001166139	0.42540355	0.189186976
FAM75C2	NM_001166137	0.00E+00	0.00E+00
EVC2	NM_001166136	3.305843323	1.534160974
RBM28	NM_001166135	6.472879839	3.010864535
MAGEA2	NM_175743	0.00E+00	0.00E+00
FRAS1	NM_001166133	0.00E+00	0.00E+00
EME1	NM_001166131	1.121657463	0.512960655
HSD3B2	NM_001166120	0.00E+00	0.00E+00
LEF1	NM_001166119	1.914267891	0.889505933
NT5C3	NM_001166118	27.67338731	12.86272595
TMOD1	NM_001166116	0.17860691	0.07864333
PNPLA6	NM_001166114	27.81914731	12.72260414
PNPLA6	NM_001166113	27.71147074	12.67651975
PNPLA6	NM_001166112	26.71441536	12.23108326
PNPLA6	NM_001166111	27.00760856	12.36245453
MAGEA2	NM_175743	0.009800389	2.53E-05
PALLD	NM_001166110	0.002192746	3.51E-06
PALLD	NM_001166109	0.001969823	3.04E-06
PALLD	NM_001166108	0.001656533	2.42E-06
HMGCS2	NM_001166107	0.00E+00	0.00E+00
TADA2A	NM_001166105	2.26027482	1.046404762
NR3C2	NM_001166104	0.007000026	1.62E-05
SPINT2	NM_001166103	15.94470752	7.402834627
NDUFV1	NM_001166102	71.6124126	31.15377617
GLRB	NM_001166061	0.00E+00	0.00E+00
GLRB	NM_001166060	0.00E+00	0.00E+00
MAGEA2	NM_175742	0.00E+00	0.00E+00
HMGCL	NM_001166059	13.00567504	6.048076757
RXFP2	NM_001166058	0.00E+00	0.00E+00
PEPD	NM_001166057	15.82639953	7.281973609
PEPD	NM_001166056	15.68495687	7.216211693
EDNRA	NM_001166055	0.00E+00	0.00E+00
APBB2	NM_001166054	0.102869702	0.045254831
APBB2	NM_001166053	0.102796098	0.045221884
APBB2	NM_001166052	0.10281081	0.04522847
APBB2	NM_001166051	0.102722598	0.045188985
APBB2	NM_001166050	0.080064549	0.034734937
ENSA	NM_207047	7.883169247	3.66730717
MAGEA2	NM_175742	0.009880189	2.56E-05
ERCC1	NM_001166049	28.59103527	13.15903663
ZNF260	NM_001166038	1.799328344	0.817453321
ZNF260	NM_001166037	1.792950128	0.814491702
ZNF260	NM_001166036	1.762862938	0.800500892
SBSN	NM_001166035	0.147690375	0.056192515
SBSN	NM_001166034	0.083093582	0.027520115
AP1B1	NM_001166019	130.6066828	56.81024116
POU6F2	NM_001166018	0.004380544	8.75E-06
SKA3	NM_001166017	1.178741816	0.542942935
ZSCAN30	NM_001166012	7.753279772	3.601570122
C15orf55	NM_175741	0.012796316	0.002355375
ECI2	NM_001166010	3.945096117	1.834572891
EPB41	NM_001166007	8.337813892	3.878955107
EPB41	NM_001166006	6.482287143	3.01601171
EPB41	NM_001166005	8.114938668	3.77538441
APOBEC3H	NM_001166004	3.174996366	1.455822534
APOBEC3H	NM_001166003	3.685880949	1.698147683
APOBEC3H	NM_001166002	4.027688265	1.859212741
BIRC2	NM_001166	8.716587417	4.05552587
GDPD1	NM_001165994	0.717495018	0.319196879
GDPD1	NM_001165993	0.669280337	0.297965226
SERPINA9	NM_175739	0.00E+00	0.00E+00
PLCE1	NM_001165979	0.004511519	9.10E-06
PROM2	NM_001165978	0.00E+00	0.00E+00
PROM2	NM_001165977	0.00E+00	0.00E+00
PDE1B	NM_001165975	35.92858388	16.62508744
UROC1	NM_001165974	0.00E+00	0.00E+00
NRG3	NM_001165973	0.00E+00	0.00E+00
NRG3	NM_001165972	0.00E+00	0.00E+00
STRADA	NM_001165970	23.51054965	10.91149229
STRADA	NM_001165969	22.96206913	10.66028155
HES7	NM_001165967	0.14428189	0.063699421
RAB37	NM_175738	3.835095076	1.743006491
PITPNM3	NM_001165966	0.175042633	0.074840955
SCN1A	NM_001165964	0.00E+00	0.00E+00
SCN1A	NM_001165963	0.00E+00	0.00E+00
ELAC2	NM_001165962	10.28698229	4.749046284
ALOXE3	NM_001165960	0.005715211	0.000591617
GSDMB	NM_001165959	58.44866553	26.77466572
GSDMB	NM_001165958	57.68519525	26.43286077
HTR2A	NM_001165947	0.00E+00	0.00E+00
IDE	NM_001165946	2.676003938	1.234673571
CLCNKB	NM_001165945	0.138420355	0.045991762
KLB	NM_175737	0.001596856	2.31E-06
STARD3	NM_001165938	38.97230717	17.70237258
STARD3	NM_001165937	38.70583155	17.58751382
RGS9	NM_001165933	0.122951144	0.000703268
RRM2	NM_001165931	5.82889423	2.710400338
DAG1	NM_001165928	6.85084338	3.187530559
MKS1	NM_001165927	1.451822764	0.668050501
EMX2	NM_001165924	0.00E+00	1.73E-09
HNF1B	NM_001165923	0.05983461	0.014399026
SERPINF2	NM_001165921	1.113646525	0.506402804
SERPINF2	NM_001165920	1.081448257	0.491495124
FMNL3	NM_175736	8.388926533	3.903113983
STX1A	NM_001165903	1.218663553	0.558320126
PDE4D	NM_001165899	0.25948275	0.106822719
CD320	NM_001165895	8.456124294	3.87494574
NPAS3	NM_001165893	0.00E+00	0.00E+00
ZNF268	NM_001165887	1.888285179	0.862166922
ATP5L2	NM_001165877	0.121492935	0.05128123
SLC25A11	NM_001165418	17.76550209	8.194194739
SLC25A11	NM_001165417	18.13844478	8.356724184
LDHA	NM_001165416	18.36651962	8.434019824
LDHA	NM_001165415	19.30443169	8.85604329
LYG2	NM_175735	0.00E+00	0.00E+00
LDHA	NM_001165414	17.19516133	7.904542039
SERPINE1	NM_001165413	0.108030205	0.04455945
NFKB1	NM_001165412	31.11132724	14.27112097
TMEM14C	NM_001165258	3.483827835	1.617428603
SCG3	NM_001165257	0.00E+00	0.00E+00
MNX1	NM_001165255	0.11385088	0.05027657
LOC730755	NM_001165252	0.00E+00	0.00E+00
LOC730755	NM_001165252	0.00E+00	0.00E+00
HERC6	NM_001165136	4.5583153	2.110379513
GFRA2	NM_001165039	0.731937941	0.328662617
C17orf74	NM_175734	0.00E+00	0.00E+00
GFRA2	NM_001165038	0.71154564	0.319342164
GABRA5	NM_001165037	0.01404817	0.001458222
OGDH	NM_001165036	20.20880354	9.293293257
FBLN2	NM_001165035	0.00E+00	0.00E+00
RNF182	NM_001165034	0.00E+00	0.00E+00
RNF182	NM_001165033	0.00E+00	0.00E+00
RNF182	NM_001165032	0.00E+00	0.00E+00
DTYMK	NM_001165031	10.63788723	4.892761628
DTYMK	NM_001165031	0.00E+00	0.00E+00
TMEM41B	NM_001165030	5.563107955	2.588366963
SYT9	NM_175733	0.00E+00	0.00E+00
BIRC3	NM_001165	11.61053716	5.399413272
CTNNA2	NM_001164883	0.271884554	0.119736466
LYRM4	NM_001164841	4.531271711	2.108073746
LYRM4	NM_001164840	1.14922524	0.529566908
C3orf24	NM_001164839	0.00E+00	0.00E+00
FXYD6	NM_001164837	0.045531358	0.010904135
FXYD6	NM_001164836	0.043549958	0.010145228
L1TD1	NM_001164835	0.00E+00	0.00E+00
FXYD6	NM_001164832	0.045087253	0.010732658
FXYD6	NM_001164831	0.043047829	0.01066374
PTPMT1	NM_175732	4.088054876	1.901609591
CA1	NM_001164830	0.00E+00	0.00E+00
C1orf210	NM_001164829	0.00E+00	0.00E+00
